nct_id,brief_title,official_title,overall_status,start_date,completion_date,study_type,phases,primary_purpose,enrollment_count,sponsor_name,sponsor_class,conditions,interventions,countries,minimum_age,maximum_age,sex,eligibility_criteria,primary_outcomes,brief_summary,trial_text
NCT04327778,Automate Music Therapy for the Management of Behavioral Disorders in Nursing Homes,Automate Music Therapy for the Management of Behavioral Disorders in Nursing Homes,UNKNOWN,,,INTERVENTIONAL,NA,TREATMENT,20.0,Centre Hospitalier Universitaire de Nice,OTHER,Alzheimer Disease|Major Neurocognitive Disorder,Music Therapy,France,60 Years,,ALL,"Inclusion Criteria:

* Age ≥ 60 years old
* Male or Female
* Patients with a diagnosis of Alzheimer disease according to the criteria of NINCDS-ADRDA or typical or atypical Alzheimer disease
* MMSE \< 20
* Patient residing in nursing home
* Voluntary, written and informed consent of the patient himself or its legal representative (guardian/curator)
* Affiliation to a social security system

Exclusion Criteria:

* Prescription of a new psychotropic treatment (hypnotic, anxiolytic, antidepressant, antipsychotic) in week prior to the evaluation
* Hearing loss preventing the patient from responding perfectly to the therapeutic solutions provided",Neuropsychiatric tests scores|Nightly agitation,"Alzheimer disease is the most common neurodegenerative brain disease that causes cognitive impairment in the elderly but also behavioral and psychological symptoms. Among these symptoms, agitation is one of the most dangerous because it put the patient and their caregivers in danger. Sleep disorders can be the cause of many psychiatric symptoms leading directly or indirectly to agitation. Music therapy is the non-drug therapy which has been shown to be the most effective in managing agitation and sleep disorders. With the MAGE protocol, the investigators propose to take care of behavioral disorders in severe Alzheimer patients living in nursing home through sequences of music therapy (stimulation, relaxation) automatically initiated by an actigraph that will detect sleep disorders. These subjects will be exposed for 2 weeks over a month. Behavioral and sleep disorders will be evaluated objectively by actigraphy but also by standardized scales, as the others neuropsychiatric symptoms found classically in this disease. Thanks to this project, the investigators hope to improve the quality of life of these patients by preventing them from putting themselves in danger, by reducing their neuropsychiatric symptoms and their use of medication, which has often deleterious side effect and also by reducing the workload of caregivers.","Automate Music Therapy for the Management of Behavioral Disorders in Nursing Homes Alzheimer disease is the most common neurodegenerative brain disease that causes cognitive impairment in the elderly but also behavioral and psychological symptoms. Among these symptoms, agitation is one of the most dangerous because it put the patient and their caregivers in danger. Sleep disorders can be the cause of many psychiatric symptoms leading directly or indirectly to agitation. Music therapy is the non-drug therapy which has been shown to be the most effective in managing agitation and sleep disorders. With the MAGE protocol, the investigators propose to take care of behavioral disorders in severe Alzheimer patients living in nursing home through sequences of music therapy (stimulation, relaxation) automatically initiated by an actigraph that will detect sleep disorders. These subjects will be exposed for 2 weeks over a month. Behavioral and sleep disorders will be evaluated objectively by actigraphy but also by standardized scales, as the others neuropsychiatric symptoms found classically in this disease. Thanks to this project, the investigators hope to improve the quality of life of these patients by preventing them from putting themselves in danger, by reducing their neuropsychiatric symptoms and their use of medication, which has often deleterious side effect and also by reducing the workload of caregivers."
NCT07127510,Brain NAD in Alzheimer's Disease,Measurement of Brain NAD Levels in Alzheimer's Patients and Control Subjects by 1H-MRS,RECRUITING,2026-03-18,2027-06-01,OBSERVATIONAL,,,20.0,Florida Atlantic University,OTHER,Alzheimer Disease (AD),,United States,65 Years,80 Years,ALL,"Inclusion Criteria:

* Participants are able to come to the Florida Atlantic University Clinical Research Unit, are verbal and ambulatory.
* Age 65 to 80 included.
* People with Alzheimer's disease (AD): AD diagnosis established by the person's physician according to the following criteria: clinical diagnosis AND either positive amyloid PET-scan or FDA-approved positive CSF or blood test.

Exclusion Criteria:

* Under the age of 65 or over the age of 80.
* Advanced dementia such that the person would require sedation for undergoing an MRI scan.
* Receiving anti-amyloid intravenous treatments Leqembi or Kinsula.
* Having an MRI-incompatible pacemaker or other MRI-incompatible hardware (e.g. comprising a metallic part).
* Having a history of seizures.
* Working at night.
* Having cancer or having been diagnosed with cancer within the last 5 years (excluding superficial squameous or basal cell cancer).
* People with no AD: MoCA test result lower than 26.",Brain NAD,"The goal of this observational study is to learn about the levels of nicotinamide adenine dinucleotide (NAD) in the brains of people with Alzheimer's disease. The study aims to determine if brain NAD levels are lower in people with Alzheimer's disease compared with people of the same age group who do not have Alzheimer's disease.

Participants with or without Alzheimer's disease will have a brain imaging session where NAD will be measured using magnetic resonance spectroscopy (MRS). Eight months later, they will have a second, similar, brain imaging session.","Brain NAD in Alzheimer's Disease The goal of this observational study is to learn about the levels of nicotinamide adenine dinucleotide (NAD) in the brains of people with Alzheimer's disease. The study aims to determine if brain NAD levels are lower in people with Alzheimer's disease compared with people of the same age group who do not have Alzheimer's disease.

Participants with or without Alzheimer's disease will have a brain imaging session where NAD will be measured using magnetic resonance spectroscopy (MRS). Eight months later, they will have a second, similar, brain imaging session."
NCT04585347,Single Dose Study of ALZ-801 Prototype Tablets,"Four-Period, Single-Dose, Sequential Study in Healthy Adults, to Assess Pharmacokinetics of ALZ-801 and Tramiprosate From ALZ-801 Prototype Tablets and Effect of Food on Bioavailability of ALZ-801 and Tramiprosate for Selected Prototype Tablet",COMPLETED,2015-09-16,2015-11-13,INTERVENTIONAL,PHASE1,TREATMENT,12.0,Alzheon Inc.,INDUSTRY,Alzheimer Disease,ALZ-801 170 mg Fasting|ALZ-801 205 mg Fasting|ALZ-801 205 mg After Food|ALZ-801 342 mg Fasting,,18 Years,65 Years,ALL,"Inclusion Criteria:

* Healthy males and females
* Females must be of non-childbearing potential
* Body mass index (BMI) of 18.0 to 35.0 kg/m2

Exclusion Criteria:

* History of any drug or alcohol abuse in the past 2 years
* Subjects known to have a creatinine clearance of \<60 mL/min
* Positive hepatitis B surface antigen (HBsAg), hepatitis C virus antibody (HCV Ab) or human immunodeficiency virus (HIV) results
* History of cardiovascular, renal, hepatic, neurological, psychiatric, chronic respiratory or gastrointestinal disease as judged by the investigator","Cmax for ALZ-801, tramiprosate, and NRM5074|Tmax for ALZ-801, tramiprosate, and NRM5074|AUC for ALZ-801, tramiprosate, and NRM5074|T1/2 for ALZ-801, tramiprosate, and NRM5074|Frel for ALZ-801 and tramiprosate|Frel (test to literature reference)","Phase 1, single-center, open-label, non-randomized, sequential single dose 4-period study in 12 healthy subjects to assess the pharmacokinetics of ALZ-801, tramiprosate and the primary metabolite of tramiprosate, NRM5074, from prototype drug product formulations of ALZ-801, and to assess effect of food on the bioavailability of ALZ-801 and tramiprosate of the prototype tablet formulation.","Single Dose Study of ALZ-801 Prototype Tablets Phase 1, single-center, open-label, non-randomized, sequential single dose 4-period study in 12 healthy subjects to assess the pharmacokinetics of ALZ-801, tramiprosate and the primary metabolite of tramiprosate, NRM5074, from prototype drug product formulations of ALZ-801, and to assess effect of food on the bioavailability of ALZ-801 and tramiprosate of the prototype tablet formulation."
NCT02521818,Dietary Treatments for Cognitive Impairment in Older Adults,Feasibility and Efficacy of Dietary Interventions for Cognitive Impairment in Older Adults,COMPLETED,,2019-07-01,INTERVENTIONAL,NA,TREATMENT,38.0,Johns Hopkins University,OTHER,Mild Cognitive Impairment|Probable Alzheimer's Disease,Modified Atkins Diet|NIA Diet for Seniors,United States,60 Years,,ALL,"Inclusion Criteria:

* diagnosis of mild cognitive impairment or Alzheimer's disease
* availability of cohabitating study partner without cognitive impairment
* consent of primary care physician

Exclusion Criteria:

* history of stroke
* history of coronary artery disease
* history of pancreatitis
* untreated hypothyroidism or B12 deficiency
* history of renal disease or recurrent kidney stones
* history of liver disease
* insulin-dependent diabetes
* body mass index \<18.5
* multiple food allergies
* follow strict diet (e.g., vegetarian, gluten-free)",Feasibility for MAD Group|Feasibility for Control Group,"This trial seeks to establish the feasibility of implementing a ketogenic, modified Atkins diet (MAD) to older adults with mild cognitive impairment (MCI) or early Alzheimer's disease (AD) living in the community. A secondary aim is to determine whether adherence to the MAD results in better cognitive test scores than adherence to a non-ketogenic control diet. A final aim is to determine the role of apolipoprotein E (ApoE) genotype in participants' response to the MAD. Participants will be randomly assigned to a 12-week trial of either the MAD or a placebo diet based on the National Institute on Aging's recommendations for senior nutrition.","Dietary Treatments for Cognitive Impairment in Older Adults This trial seeks to establish the feasibility of implementing a ketogenic, modified Atkins diet (MAD) to older adults with mild cognitive impairment (MCI) or early Alzheimer's disease (AD) living in the community. A secondary aim is to determine whether adherence to the MAD results in better cognitive test scores than adherence to a non-ketogenic control diet. A final aim is to determine the role of apolipoprotein E (ApoE) genotype in participants' response to the MAD. Participants will be randomly assigned to a 12-week trial of either the MAD or a placebo diet based on the National Institute on Aging's recommendations for senior nutrition."
NCT01128725,"Truncated and Extended Forms of Amyloid Beta Peptides in Alzheimer's Disease: Genesis, Toxicity and Identification as Biological Markers",,UNKNOWN,,,INTERVENTIONAL,NA,BASIC_SCIENCE,100.0,Centre Hospitalier Universitaire de Nice,OTHER,Alzheimer Disease,Alzhamyd,France,18 Years,,ALL,"Inclusion Criteria:

* 1\) Coming subjects to see patients in CMRR for a complaint mnésique 2) Introducing a score in Tiny Mental the upper Test (MMSE) in 28/30 without error in under score of the recall of the 3 words 3) Introducing a score of 10/10 in the test of the 5 words of B2C 4) Introducing a score in the ladder CDR (Clinical Dementia Rating) equal to 0 5) Having given a lit consent 6) Being affiliated member or beneficiary of the regime of French national health and pensions organization

Exclusion Criteria:

* Major, all the vulnerable persons under 18 under tutelage, under legal guardianship, deprived of freedom, hospitalized in a health Establishment or social for quite other reason that searches it
* Record of neurological or psychiatric pathology and inability for sensory reasons to perform a cognitive balance sheet","Identification of yet unknown enzymes involved in the processing of Ab, especially on those responsible for the exoproteasic truncation of Ab at its N-terminus.","Beta amyloid immunoreactivity is probably due to a significant number of Ab catabolites corresponding to N-terminally truncated and Cterminally truncated or extended forms which display distinct propensity to aggregation. Very few things are known concerning the mechanisms and proteases by which they are generated. Furthermore, the link between truncation and toxicity has not been delineated.

Finally, little is known concerning Ab fragments in biological fluids and whether they could be seen as early biomarkers and thereby, as putative targets for AD diagnostic. The present project will allow to examine the human biological samples and to identify various cohorts after complete clinical evaluation.","Truncated and Extended Forms of Amyloid Beta Peptides in Alzheimer's Disease: Genesis, Toxicity and Identification as Biological Markers Beta amyloid immunoreactivity is probably due to a significant number of Ab catabolites corresponding to N-terminally truncated and Cterminally truncated or extended forms which display distinct propensity to aggregation. Very few things are known concerning the mechanisms and proteases by which they are generated. Furthermore, the link between truncation and toxicity has not been delineated.

Finally, little is known concerning Ab fragments in biological fluids and whether they could be seen as early biomarkers and thereby, as putative targets for AD diagnostic. The present project will allow to examine the human biological samples and to identify various cohorts after complete clinical evaluation."
NCT04730440,Rehabilitation of Facial Emotion Recognition in Alzheimer's Disease,"Rehabilitation of Facial Emotion Recognition in Alzheimer's Disease and Study of the Consequences on Gaze Strategy, Behavior Disorders and Family Caregivers' Burden",COMPLETED,2019-03-01,2020-03-26,OBSERVATIONAL,,,8.0,Centre Hospitalier Princesse Grace,OTHER,Alzheimer Dementia|Family Caregivers,AD-TAR|AD-Cognitive Stimulation,,18 Years,,ALL,"Inclusion Criteria:

* AD diagnosed according to l'IWG-2 (Dubois \& al. 2014) criteria,
* Mini-Mental State (MMS-E) ≥15
* Subject accompanied by a family caregiver and whose participation in a cognitive stimulation workshop was recommended in Memory Centre of the RAINIER Centre (Princesses Grace Hospital - Monaco)
* Written informed consent signed by patient and family caregiver.

Exclusion Criteria:

* General anaesthesia within 3 months.
* Ophthalmological or neurological problems preventing a video-oculography examination.
* Oculomotor disorders such as ""fixation disorders"" or ""ocular tracking disorders"".
* Cognitive disorders of the type: visual agnosia, visuo-spatial disorder, visuo-perceptual disorder or aphasia.
* History of bipolar disorder or schizophrenia
* History of alcohol abuse.",Facial emotion recognition (FER) performances|Affective ToM performances,"This study aims to evaluate impacts of an emotion recognition rehabilitation program, named Training of Affect Recognition, on social cognition abilities in Alzheimer's disease (AD). In addition, we hypothesis that the effect of this rehabilitation will also evolve gaze strategies, behavioral disorders, and the caregiver's burden.","Rehabilitation of Facial Emotion Recognition in Alzheimer's Disease This study aims to evaluate impacts of an emotion recognition rehabilitation program, named Training of Affect Recognition, on social cognition abilities in Alzheimer's disease (AD). In addition, we hypothesis that the effect of this rehabilitation will also evolve gaze strategies, behavioral disorders, and the caregiver's burden."
NCT06843824,A Graphene Far-infrared Intervention Study of Cognitive Status in Older Adults,A Graphene Far-infrared Intervention Study of Cognitive Status in Older Adults,COMPLETED,2025-03-10,2025-05-30,INTERVENTIONAL,NA,OTHER,126.0,"Institute of Psychology, Chinese Academy of Sciences",OTHER,Mild Cognitive Impairment (MCI)|Subjective Cognitive Decrease (SCD)|Alzheimer's Disease(AD)|Depression/Anxiety Symptoms,a custom-made graphene therapy cap|A regular cap that generates heat,China,45 Years,,ALL,"Inclusion Criteria:

* Age 55 years and above (age limit may be relaxed to not less than 45 years if there is a special desire to participate in the intervention)
* No barriers to daily communication
* Individuals participating voluntarily

Exclusion Criteria:

* Good cognitive functioning (SCD score of 0)
* Subjective desire to withdraw
* Individuals who reported discomfort opting out during the experimental procedure",SCD|MCI/AD,"This study is a 4-week group controlled trial to explore whether graphene far-infrared intervention can improve the cognitive status of older adults presenting with symptoms of Subjective Cognitive Decline (SCD), Mild Cognitive Impairment (MCI), or Alzheimer's Disease (AD), and is dedicated to enhancing the cognitive status of older adults and improving their mental health. Participants were older adults who presented with cognitive problems. Participants were divided into SCD and MCI/AD groups based on their cognitive level, and each group was further divided into a graphene far-infrared intervention group and a placebo control group. We also measured the depression and anxiety levels of the older adults and incidentally observed whether the graphene far-infrared intervention could have a positive impact on their mental health outcomes, which was not the focus of our study.","A Graphene Far-infrared Intervention Study of Cognitive Status in Older Adults This study is a 4-week group controlled trial to explore whether graphene far-infrared intervention can improve the cognitive status of older adults presenting with symptoms of Subjective Cognitive Decline (SCD), Mild Cognitive Impairment (MCI), or Alzheimer's Disease (AD), and is dedicated to enhancing the cognitive status of older adults and improving their mental health. Participants were older adults who presented with cognitive problems. Participants were divided into SCD and MCI/AD groups based on their cognitive level, and each group was further divided into a graphene far-infrared intervention group and a placebo control group. We also measured the depression and anxiety levels of the older adults and incidentally observed whether the graphene far-infrared intervention could have a positive impact on their mental health outcomes, which was not the focus of our study."
NCT01867359,The Genetic Characterization of Dementia,The Genetic Characterization of Dementia,COMPLETED,2003-03-14,2016-09-20,OBSERVATIONAL,,,87.0,National Institute on Aging (NIA),NIH,Dementia,,United States,18 Years,,ALL,"* INCLUSION CRITERIA:

Previous diagnosis of Dementia by neurologist, other medical care provider, or researcher accompanied by sufficient clinical and/or laboratory evidence

Clinical confirmation of Dementia by the investigator and his associates either by exam and/or review of medical records

Family member of diagnosed dementia patient

Healthy controls

EXCLUSION CRITERIA:

Individuals with any movement disorder secondary to a specific environmental exposure, birth injury, metabolic disorder, or brain infection such as encephalitis.",Genetic cause of disease identified,"Background:

\- Researchers are interested in learning more about dementia and its causes. They want to look at the genetic basis of dementia. Identifying genetic aspects of dementia may help provide better tests and treatments for it. It may also show rare gene variants that can cause or alter a person's risks for developing dementia. This study will look at people who have dementia, their family members, and healthy volunteers.

Objectives:

\- To study genetic influences on dementia.

Eligibility:

* Individuals who have been diagnosed with dementia.
* Family members of individuals who have been diagnosed with dementia.
* Healthy volunteers at least 18 years of age.

Design:

* Participants will be interviewed and answer questions about their medical history. They will also provide general information on the relatives' medical histories.
* Participants will provide a blood sample for genetic testing.
* Participants will remain on the study for up to 10 years. They will have regular visits to monitor their brain health and function.
* Treatment will not be provided as part of this study.","The Genetic Characterization of Dementia Background:

\- Researchers are interested in learning more about dementia and its causes. They want to look at the genetic basis of dementia. Identifying genetic aspects of dementia may help provide better tests and treatments for it. It may also show rare gene variants that can cause or alter a person's risks for developing dementia. This study will look at people who have dementia, their family members, and healthy volunteers.

Objectives:

\- To study genetic influences on dementia.

Eligibility:

* Individuals who have been diagnosed with dementia.
* Family members of individuals who have been diagnosed with dementia.
* Healthy volunteers at least 18 years of age.

Design:

* Participants will be interviewed and answer questions about their medical history. They will also provide general information on the relatives' medical histories.
* Participants will provide a blood sample for genetic testing.
* Participants will remain on the study for up to 10 years. They will have regular visits to monitor their brain health and function.
* Treatment will not be provided as part of this study."
NCT01322373,A Study of Alzheimer's Disease Using Magnetoencephalography (MEG) and the Synchronous Neural Interaction™ Test,Improved Diagnosis of Alzheimer's Disease Using Magnetoencephalography (MEG) and the Synchronous Neural Interaction™ Test: A Follow-up Study,UNKNOWN,,,OBSERVATIONAL,,,120.0,"Orasi Medical, Inc.",INDUSTRY,Alzheimer's Disease,,United States,20 Years,92 Years,ALL,"Inclusion Criteria:

* Subject enrolled and completed Orasi Protocol ADG 08-01
* Subject understands the study procedures and agrees to participate in the study by giving written informed consent. In the event the subject lacks the capacity to sign the consent form then the subject's Legally Authorized Representative (LAR) may sign on the subject's behalf. See Section 5. Informed Consent for details.
* Subject is a non-smoker.
* Subject is judged to be in good health other than AD, if applicable

Exclusion Criteria:

* Subject has a history or diagnosis of a significant neurological condition other than Alzheimer's disease including Parkinson's disease, vascular dementia, Lewy body dementia, frontal temporal dementia, human immunodeficiency virus, multiple sclerosis, seizures, epilepsy, stroke, ADHD, dyslexia, or severe traumatic brain injury.
* Subject has a history of primary psychotic disorder (e.g. schizophrenia, schizoaffective disorder, delusional disorder) or bipolar disorder.
* Subject has a Modified Hachinski Ischemia Scale (HIS) score greater than 4.
* The subject has a recent history (within 2 years) of alcohol or substance abuse/dependence.
* Subject had an MRI within two weeks prior to Study Visit 2.
* Subject has metal dental braces, pacemaker or other common medical devices that may interfere with the MEG scan.
* Subject is unable to complete the MEG scan procedure.
* Investigator has any concern regarding the safe participation of a subject in the study, or if for any other reason the investigator considers the subject inappropriate for study participation",Identification and characterization of patterns of correlated brain activity measured by MEG and the Orasi SNI test that differ consistently between HC and AD subjects.,"This follow-up study is designed to obtain longitudinal clinical and MEG scan data to gain information on Alzheimer's disease (AD) progression, the stability of healthy control (HC) MEG scan data, to enrich the Orasi database of AD and HC subjects, and is intended to extend the capabilities of the Synchronous Neural Interaction® (SNI) test, which is under development by the sponsor, Orasi Medical. The current study is intended to extend the database of AD and HC MEG scans and will include patients who previously enrolled and completed Orasi Protocol ADG 08-01. This study will include MEG scans on up to approximately 50 AD subjects and 70 HC subjects. Additionally, AD subjects will complete 3 standard functional tests while HC subjects will complete 2 standard functional tests. ApoE genotyping also will be determined for all subjects. The results generated in this study will be used to improve the accuracy of the SNI test for diagnosing and tracking the progression of AD.","A Study of Alzheimer's Disease Using Magnetoencephalography (MEG) and the Synchronous Neural Interaction™ Test This follow-up study is designed to obtain longitudinal clinical and MEG scan data to gain information on Alzheimer's disease (AD) progression, the stability of healthy control (HC) MEG scan data, to enrich the Orasi database of AD and HC subjects, and is intended to extend the capabilities of the Synchronous Neural Interaction® (SNI) test, which is under development by the sponsor, Orasi Medical. The current study is intended to extend the database of AD and HC MEG scans and will include patients who previously enrolled and completed Orasi Protocol ADG 08-01. This study will include MEG scans on up to approximately 50 AD subjects and 70 HC subjects. Additionally, AD subjects will complete 3 standard functional tests while HC subjects will complete 2 standard functional tests. ApoE genotyping also will be determined for all subjects. The results generated in this study will be used to improve the accuracy of the SNI test for diagnosing and tracking the progression of AD."
NCT03325205,MR Guided tDCS in Alzheimer's Disease,MR Guided tDCS: The Effect of Repeated Transcranial Direct Current Stimulation on Cognitive Functioning in Alzheimer's Disease,COMPLETED,2017-08-22,2020-03-10,INTERVENTIONAL,NA,TREATMENT,19.0,University of Tromso,OTHER,Alzheimer's Disease,Anodal tDCS|Sham tDCS,Norway,50 Years,85 Years,ALL,"Inclusion Criteria:

* Alzheimer's Disease, mild and moderate stage

Exclusion Criteria:

* Other neurological diseases or injuries
* Stroke
* Cancer
* Psychiatric disorders (moderate/ severe depression, psychosis)",Performance on Neuropsychological tests,"The purpose of the study is to investigate the effect of High Density- tDCS (HD- tDCS) on cognitive function in Alzheimer's Disease. One anode and four return electrodes are placed over DLPFC, where low intensity current (2mA) is induced to the surface of the scalp. Electrode placement is individualized for each participant. Participants will undergo 15 stimulations, with a duration of 20 minutes each. All patients will undergo neuropsychological assessment and MRI evaluation.","MR Guided tDCS in Alzheimer's Disease The purpose of the study is to investigate the effect of High Density- tDCS (HD- tDCS) on cognitive function in Alzheimer's Disease. One anode and four return electrodes are placed over DLPFC, where low intensity current (2mA) is induced to the surface of the scalp. Electrode placement is individualized for each participant. Participants will undergo 15 stimulations, with a duration of 20 minutes each. All patients will undergo neuropsychological assessment and MRI evaluation."
NCT05531656,A Study to Evaluate the Safety and Efficacy of CT1812 in Early Alzheimer's Disease,"Synaptic Therapy Alzheimer's Research Trial (START): A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Trial to Evaluate the Safety and Efficacy of CT1812 in Early Alzheimer's Disease Over 18 Months.",ACTIVE_NOT_RECRUITING,2023-06-28,,INTERVENTIONAL,PHASE2,TREATMENT,540.0,Cognition Therapeutics,INDUSTRY,Early Alzheimer's Disease,CT1812|Placebo,United States,50 Years,85 Years,ALL,"Inclusion Criteria:

1. Ages 50-85 years.
2. Diagnosis of either MCI due to AD or mild AD dementia.
3. MMSE 20-30 (inclusive).
4. Amyloid PET scan of the brain or CSF biomarkers consistent with AD.
5. Neuroimaging (MRI) obtained during screening consistent with the clinical diagnosis of Alzheimer's disease, as based on central read.

Exclusion Criteria:

1. Screening MRI of the brain indicative of significant abnormality.
2. Clinically significant abnormalities in screening laboratory tests.
3. Clinical or laboratory findings consistent with:

   1. Other primary degenerative dementia, (dementia with Lewy bodies, fronto-temporal dementia, Huntington's disease, Creutzfeldt-Jakob Disease, Down syndrome, etc.).
   2. Other neurodegenerative condition (Parkinson's disease, amyotrophic lateral sclerosis, etc.).
   3. Other infectious, metabolic or systemic diseases affecting the central nervous system (syphilis, present hypothyroidism, present vitamin B12, other laboratory values etc.)
4. A participant known to be actively infected with hepatitis B or hepatitis C at screening. History of acute/chronic hepatitis B or C and/or carriers of hepatitis B (seropositive for hepatitis B surface antigen \[HbsAg\] or anti-hepatitis C \[HCV\] antibody). Participants who have evidence of resolved hepatitis infection (e.g., HCV RNA negative) may be considered following discussion with the Medical Monitor.
5. A current DSM-V diagnosis of active major depression or GDS \> 6, schizophrenia, or bipolar disorder.",Change from baseline in the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) scale.,"This is a multicenter randomized, double-blind, placebo-controlled Phase 2 study designed to evaluate the efficacy, safety, and tolerability of two doses of CT1812 compared to placebo in participants diagnosed with early Alzheimer's disease.","A Study to Evaluate the Safety and Efficacy of CT1812 in Early Alzheimer's Disease This is a multicenter randomized, double-blind, placebo-controlled Phase 2 study designed to evaluate the efficacy, safety, and tolerability of two doses of CT1812 compared to placebo in participants diagnosed with early Alzheimer's disease."
NCT02989402,"A Phase IV Study to Evaluate Safety, Tolerability and Effectiveness of Rivastigmine Patch 15cm2 in Patients With Severe Dementia of the Alzheimer's Type.","A Prospective, 16 Week, Phase IV Study to Evaluate Safety, Tolerability and Effectiveness in Patients With Severe Dementia of the Alzheimer's Type Exposed to Rivastigmine (Exelon)15cm2 Transdermal Patch",COMPLETED,2018-12-31,2022-12-08,INTERVENTIONAL,PHASE4,TREATMENT,100.0,Novartis Pharmaceuticals,INDUSTRY,Alzheimer's Disease,Rivastigmine,India,,,ALL,"Inclusion Criteria:

1. Patients willing to participate in the study by providing written informed consent.
2. Patients diagnosed with severe dementia secondary to Alzheimer's disease (AD) 3 .Patient's prescribed with rivastigmine 27mg -15 cm\^2 transdermal patch as per discretion of treating physician

Exclusion Criteria:

1. Contraindication as per PI
2. Patients simultaneously participating in other studies
3. Use of other investigational drugs within 5 half-lives of enrollment, or within 30 days (for small molecules) /until the expected PD effect has returned to baseline (for biologics)\], whichever is longer.
4. History of hypersensitivity to any of the study drugs or to drugs of similar chemical classes",Number of Participants With Treatment Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs),"This was a multicenter, prospective, phase IV study evaluating safety, tolerability and effectiveness of rivastigmine 27 mg -15 cm\^2 transdermal patch prescribed in patients with severe dementia of the Alzheimer's type as per discretion of treating physician.","A Phase IV Study to Evaluate Safety, Tolerability and Effectiveness of Rivastigmine Patch 15cm2 in Patients With Severe Dementia of the Alzheimer's Type. This was a multicenter, prospective, phase IV study evaluating safety, tolerability and effectiveness of rivastigmine 27 mg -15 cm\^2 transdermal patch prescribed in patients with severe dementia of the Alzheimer's type as per discretion of treating physician."
NCT03762902,Predicting Migraine Attacks Based on Environmental and Behavioral Changes as Detected From the Smartphone,"The Relation Between Analyzed Sensory Data of the Smartphone and Migraine Attacks, Recorded by Individuals Who Suffer From Episodic Migraine",TERMINATED,2019-04-30,2019-09-01,OBSERVATIONAL,,,10.0,Lifegraph Ltd.,INDUSTRY,"Migraine Disorders|Headache Disorders|Headache Disorders, Primary|Brain Diseases|Central Nervous System Diseases|Nervous System Diseases",,United States,18 Years,75 Years,ALL,"Inclusion Criteria:

* Individuals who suffer from episodic migraine with 4-14 days of migraine per month (ICHD-3 patients).
* Individuals who possess a smartphone - Android version 5.0 and above or iOS version 10.0 and above.

Exclusion Criteria:

* Individuals who are unable to sign the consent form.
* Pregnant women.
* Individuals suffering from headaches that do not meet the IHS migraine criteria or don't have moderate to severe chronic pain of VAS chronic grade 4 and above.",Assessing Lifegraph's predictive ability of migraine attacks before subjects report they experience an attack.,"This study is conducted at the Henry Ford Health System with Lifegraph's behavioral monitoring technology, to examine the relation between migraine attacks and behavioral and environmental changes as detected from the smartphone sensors. The investigators hypothesize that Lifegraph's technology can predict the occurrence of migraine attacks with high precision.","Predicting Migraine Attacks Based on Environmental and Behavioral Changes as Detected From the Smartphone This study is conducted at the Henry Ford Health System with Lifegraph's behavioral monitoring technology, to examine the relation between migraine attacks and behavioral and environmental changes as detected from the smartphone sensors. The investigators hypothesize that Lifegraph's technology can predict the occurrence of migraine attacks with high precision."
NCT07118137,Memory Deterioration in Alzheimer Disease,Translational Neuroscience CAG for Alzheimer's Disease,RECRUITING,2023-10-15,2027-12-31,OBSERVATIONAL,,,30.0,Norwegian University of Science and Technology,OTHER,Alzheimer Disease|Neurodegenerative Diseases|Magnetic Resonance Imaging|Memory Impairment,7T MRI|EEG|Blood samples|Stool samples|Neuropsychologic test (MoCA),Norway,55 Years,,ALL,"Inclusion Criteria:

* Confirmed diagnosis based on current ICD criteria for AD or MCI .
* \>55years.
* Norwegian native speaker
* Lives at home and not in a health institution

Exclusion Criteria:

* Patients with severe cognitive impairment that prevents assessment with the selected modalities (planned cut-off: CDR \> 2).
* Presence of brain tumors.
* History of traumatic brain injury.
* History of cranial surgery.
* Contraindications to the selected imaging modalities (e.g., 7T MRI or EEG).
* Diagnosis of other neurodegenerative diseases such as Parkinson's disease or ALS.

  7T MRI contraindications:
* Large tattoos close to the head region, permanent makeup or unremoveable piercings
* Certain models of pacemakers (if pacemaker implantet, MRI physicist at 7T-lab will be conferred)
* Implantet metal in body (clips, stents, prothesis, skrews, plates, teeth etc.)","Understand which individual differences are observed among patients with Alzheimer's disease (AD).|Compare changes in the brain, blood, and stool samples between dementia patients and healthy controls.",Semantic AD,Memory Deterioration in Alzheimer Disease Semantic AD
